,Datetime,Tweet Id,Text,Username
114,2020-10-30 22:01:51+00:00,1.3223E+18,"She is in support of Desmond Elliot
#DesmondElliott #DesmondEliot #DesmondIdiot https://t.co/K6ZvJDiKFa",Kelvinsomy28
115,2020-10-30 22:01:11+00:00,1.3223E+18,"Despite His Apology for Calling Youths “Kids”, Desmond Elliot’s Followers Reduce from 1.2m to 9,703 https://t.co/FAKB4Yftow #MadeinLagos #KillSocialMediaBill #wizkid CCTV Burna #HiErica Davido Apollo Laycon #bbnaija #DesmondElliott momodu #StreamNobodyRemix #TachaXTiwa plateau",News_Breakiing
116,2020-10-30 22:01:11+00:00,1.3223E+18,"@stelladamasus I couldn’t believe listening to him calling the youth as Children? Where are the children? I didn’t see any children out protesting, And then he has the gut to come on Arise TV to blah blah blah and cry crocodile cry 😢 @DesmondElliot",unstoppablemoji
117,2020-10-30 21:59:48+00:00,1.3223E+18,"@Olamile02442211 @desmondelliot @mamaamuwo can share that sub with him.
Talking about being afraid to let her kids have phones and get on the internet.
Lool, her and her damn kids can get fucked.
I hope they see mummy as a fake, corrupt, thieving, pompous",NigerianTrbMkr
118,2020-10-30 21:59:19+00:00,1.3223E+18,"If Desmond Elliot can be a Govt Opp, coming to lie and later  doing some apology PR.
lol I don’t trust nobody.",HenshawBlaZe
119,2020-10-30 21:58:13+00:00,1.3223E+18,"Being a youth cannot only be restricted to age (cos Yahaya Bello and Desmond Elliot have flawed that). 
Youthfulness should be at heart and in action -  actions that promotes the progress of our immediate environment.",jessicaanna1007
120,2020-10-30 21:57:14+00:00,1.3223E+18,@davido @DesmondElliot_   you   thing  say  na  film  you  day  act  abi,FELIXCHINEMERE3
121,2020-10-30 21:56:27+00:00,1.3223E+18,@OkoliMuna1 @TimilehinEburu @Petersen_209 @segalink @citizen_gavel @PoliceNG_CRU @akaebube @falzthebahdguy @Nrs_Danie @adedoyinanike @BOGbadamosi @Czooba @DoctorEmto @raphnelson_abah @njonurses @Tee_Classiquem1 You talk like Desmond Elliot.,chukka0x
122,2020-10-30 21:56:05+00:00,1.3223E+18,"Desmond Elliot don suffer for this internet o! Make we forgive am small 🤣🤣🤣🤣🤣 📹: @justadetoun

https://t.co/Xmc4nL1Iyz https://t.co/kqncjEoMyO",sundayvictor607
123,2020-10-30 21:55:56+00:00,1.3223E+18,"@IamEtubo Daddy Amiya, I will report you to Desmond Elliot 😭😭",TheTosinOlaniyi
